family,size,variant,condition,temperature,pool_dim,n_rows,r2_ridge_E,r2_ridge_S,r2_mlp_E,r2_mlp_S,gap_E,gap_S,asymmetry,r2_knn_E,r2_knn_S,knn_asymmetry,notes
gemma,2b_4bit,abliterated,deterministic,0.0,1024,132,0.6105291843414307,0.7601969242095947,0.6406968832015991,0.7136542201042175,0.030167698860168457,-0.0465427041053772,0.07671040296554565,0.1213640570640564,0.08946643769741058,0.03189761936664581,
gemma,2b_4bit,abliterated,temp_0.2,0.2,1024,184,0.6071329712867737,0.7067675590515137,0.7067962884902954,0.6757858395576477,0.09966331720352173,-0.030981719493865967,0.1306450366973877,0.4301334023475647,0.37973764538764954,0.05039575695991516,
gemma,2b_4bit,abliterated,temp_0.4,0.4,1024,330,0.6757047772407532,0.8883538842201233,0.8600286245346069,0.861832320690155,0.18432384729385376,-0.02652156352996826,0.21084541082382202,0.787934422492981,0.8478406667709351,-0.0599062442779541,
gemma,2b_4bit,abliterated,temp_0.6,0.6,128,444,0.6086769104003906,0.8251248598098755,0.8180875182151794,0.8271825313568115,0.20941060781478882,0.002057671546936035,0.20735293626785278,0.6879678964614868,0.8154582977294922,-0.12749040126800537,
gemma,2b_4bit,abliterated,temp_0.8,0.8,128,735,0.6309686303138733,0.8172342777252197,0.8398181200027466,0.8489364981651306,0.2088494896888733,0.03170222043991089,0.1771472692489624,0.6597357988357544,0.8002403974533081,-0.1405045986175537,
gemma,2b_4bit,abliterated,temp_1.0,1.0,128,961,0.60423743724823,0.8403153419494629,0.8501730561256409,0.8696390390396118,0.2459356188774109,0.029323697090148926,0.21661192178726196,0.5264599323272705,0.8152774572372437,-0.28881752490997314,
gemma,2b_fp16,abliterated,deterministic,0.0,256,293,0.6683255434036255,0.8073270320892334,0.61341392993927,0.74127197265625,-0.05491161346435547,-0.0660550594329834,0.01114344596862793,0.24138996005058289,0.4213651418685913,-0.17997518181800842,
gemma,2b_fp16,abliterated,temp_0.2,0.2,64,349,0.497878760099411,0.657314121723175,0.5680432915687561,0.6964280009269714,0.07016453146934509,0.03911387920379639,0.031050652265548706,0.3540944755077362,0.5718567371368408,-0.21776226162910461,
gemma,2b_fp16,abliterated,temp_0.4,0.4,512,531,0.5936483144760132,0.8314715623855591,0.8109613656997681,0.8237921595573425,0.21731305122375488,-0.007679402828216553,0.22499245405197144,0.4914136528968811,0.7756670713424683,-0.28425341844558716,
gemma,2b_fp16,abliterated,temp_0.6,0.6,128,820,0.6148178577423096,0.8194600343704224,0.8492685556411743,0.8503897786140442,0.23445069789886475,0.030929744243621826,0.20352095365524292,0.5891066789627075,0.8473337292671204,-0.25822705030441284,
gemma,2b_fp16,abliterated,temp_0.8,0.8,64,1395,0.5888581275939941,0.7105638384819031,0.6129873991012573,0.8296826481819153,0.024129271507263184,0.11911880970001221,-0.09498953819274902,0.5294506549835205,0.8664642572402954,-0.3370136022567749,
gemma,2b_fp16,abliterated,temp_1.0,1.0,256,1673,0.7564982771873474,0.8760170936584473,0.8004113435745239,0.8602303862571716,0.043913066387176514,-0.015786707401275635,0.05969977378845215,0.574012279510498,0.8771981000900269,-0.3031858205795288,
gemma,9b_4bit,abliterated,deterministic,0.0,512,800,0.41178855299949646,0.8035085797309875,0.7614219188690186,0.7866281270980835,0.3496333658695221,-0.016880452632904053,0.36651381850242615,0.4498114585876465,0.4001392722129822,0.04967218637466431,
gemma,9b_4bit,abliterated,temp_0.2,0.2,64,968,0.5318571925163269,0.7028558850288391,0.7838584780693054,0.8113385438919067,0.2520012855529785,0.10848265886306763,0.1435186266899109,0.6931430101394653,0.8602515459060669,-0.16710853576660156,
gemma,9b_4bit,abliterated,temp_0.4,0.4,128,1211,0.5868092179298401,0.7693532705307007,0.8189523816108704,0.8182404041290283,0.23214316368103027,0.04888713359832764,0.18325603008270264,0.6480017900466919,0.8909004926681519,-0.24289870262145996,
gemma,9b_4bit,abliterated,temp_0.6,0.6,128,1567,0.6441839337348938,0.7926303744316101,0.8291465640068054,0.8596508502960205,0.18496263027191162,0.0670204758644104,0.11794215440750122,0.5668796300888062,0.9162853956222534,-0.34940576553344727,
gemma,9b_4bit,abliterated,temp_0.8,0.8,128,2016,0.5658405423164368,0.7455255389213562,0.8375341892242432,0.8432429432868958,0.2716936469078064,0.09771740436553955,0.17397624254226685,0.5027763843536377,0.859020471572876,-0.3562440872192383,
gemma,9b_4bit,abliterated,temp_1.0,1.0,128,2400,0.6165327429771423,0.7961121201515198,0.8526573777198792,0.8627657294273376,0.23612463474273682,0.06665360927581787,0.16947102546691895,0.498527854681015,0.8516848087310791,-0.3531569540500641,
llama,8b_4bit,abliterated,deterministic,0.0,1024,2012,0.6551969051361084,0.7435634136199951,0.7690094709396362,0.7117626667022705,0.11381256580352783,-0.03180074691772461,0.14561331272125244,0.2133796066045761,0.41602009534835815,-0.20264048874378204,
llama,8b_4bit,abliterated,temp_0.2,0.2,128,2434,0.6458112001419067,0.6744822263717651,0.6933348774909973,0.6976161003112793,0.047523677349090576,0.02313387393951416,0.024389803409576416,0.5089242458343506,0.8488733172416687,-0.3399490714073181,
llama,8b_4bit,abliterated,temp_0.4,0.4,64,2906,0.5933007001876831,0.6168257594108582,0.6976768374443054,0.719739556312561,0.10437613725662231,0.10291379690170288,0.0014623403549194336,0.35789191722869873,0.8051526546478271,-0.4472607374191284,
llama,8b_4bit,abliterated,temp_0.6,0.6,64,3504,0.5943678021430969,0.6175082921981812,0.7194141745567322,0.7485740780830383,0.12504637241363525,0.13106578588485718,-0.006019413471221924,0.3836752772331238,0.8064500689506531,-0.4227747917175293,
llama,8b_4bit,abliterated,temp_0.8,0.8,64,3917,0.5943385362625122,0.6154482364654541,0.6665893793106079,0.7187549471855164,0.0722508430480957,0.10330671072006226,-0.031055867671966553,0.35082608461380005,0.7762868404388428,-0.4254607558250427,
llama,8b_4bit,abliterated,temp_1.0,1.0,64,4317,0.5942347645759583,0.6186543703079224,0.7300137281417847,0.7356986403465271,0.13577896356582642,0.11704427003860474,0.01873469352722168,0.38111111521720886,0.7966781854629517,-0.4155670702457428,
