nl_S,nl_E,seed,rho,sigma,d,n,R2_ridge,R2_mlp,R2_gap,Rhat_ridge,Rhat_mlp,Rhat_gap,Ehat_ridge,Ehat_mlp,Ehat_gap,drop_S_ridge,drop_E_ridge,drop_S_mlp,drop_E_mlp,info_rms_lin_S,info_rms_lin_E,info_rms_res_S,info_rms_res_E,info_rms_noise,info_rms_Snext,info_v_S
0.0,0.0,0,0.7,0.3,16,8000,0.9572138786315918,0.9493656754493713,-0.007848203182220459,0.5243575364897667,0.5249896694996484,0.0006321330098817413,0.47564246351023326,0.4750103305003516,-0.0006321330098816857,0.9997139890367787,0.9068362547705571,0.9966061275452376,0.9017286120603482,1.0246741636792256,1.0082319505926318,1.0246741636769088,1.008231950589687,0.3006815359583377,1.4676993980255921,2.1372549019607843
0.0,0.0,1,0.7,0.3,16,8000,0.9532253742218018,0.9448917508125305,-0.00833362340927124,0.5712938269600384,0.5723698636002865,0.0010760366402481347,0.42870617303996156,0.4276301363997136,-0.0010760366402479682,1.0925427561004957,0.8198580165704091,1.0910097370545069,0.8151174133022626,1.0222359595607802,0.9215448572519856,1.0222359595584574,0.9215448572490494,0.29913744275123993,1.4097631248036218,2.1372549019607843
0.0,0.0,2,0.7,0.3,16,8000,0.9574293494224548,0.9499098062515259,-0.007519543170928955,0.5149740948453806,0.5134108337570531,-0.0015632610883274944,0.48502590515461946,0.4865891662429469,0.001563261088327439,0.9861362741018335,0.9287877657140294,0.979785292968154,0.9285992376001863,1.022779599847016,1.0114765096584162,1.0227795998448759,1.0114765096553426,0.30069175165640477,1.469854725980268,2.1372549019607843
0.0,0.0,3,0.7,0.3,16,8000,0.9568739533424377,0.9489046931266785,-0.007969260215759277,0.5337112782549791,0.5323120288248946,-0.0013992494300845149,0.46628872174502084,0.4676879711751054,0.0013992494300845704,1.0127416729927063,0.8848042741417885,1.0069553370277087,0.8847083536287149,1.0224696995565625,0.9757386699426752,1.0224696995542875,0.9757386699397798,0.3003490954080528,1.4458846585622585,2.1372549019607843
0.0,0.0,4,0.7,0.3,16,8000,0.9560112953186035,0.9476450681686401,-0.008366227149963379,0.5266159204206788,0.5262040692286334,-0.00041185119204545373,0.47338407957932105,0.47379593077136667,0.00041185119204562026,1.010608100766937,0.908452948431174,1.005846304198106,0.9056674278651674,1.022224549247996,1.0036613627378226,1.0222245492458715,1.003661362734887,0.2999295611365,1.46520251022476,2.1372549019607843
0.0,0.5,0,0.7,0.3,16,8000,0.8536709547042847,0.839347243309021,-0.014323711395263672,0.5227397506376412,0.5221742819833953,-0.0005654686542458931,0.4772602493623587,0.47782571801660473,0.0005654686542460041,0.8926416598881285,0.8149798837179939,0.8878963962197304,0.8124868414364755,1.0246741636792256,1.0082319505926318,1.0246741636769088,1.008231950589687,0.3006815359583377,1.5524246810143048,2.1372549019607843
0.0,0.5,1,0.7,0.3,16,8000,0.8601594567298889,0.8472611308097839,-0.01289832592010498,0.5714027109349377,0.5708002710363208,-0.0006024398986168578,0.4285972890650623,0.42919972896367925,0.0006024398986169688,0.984457864612341,0.7384213688472907,0.9786306756238142,0.7358581312000751,1.0222359595607802,0.9215448572519856,1.0222359595584574,0.9215448572490494,0.29913744275123993,1.4839441738602415,2.1372549019607843
0.0,0.5,2,0.7,0.3,16,8000,0.8586691617965698,0.8452311158180237,-0.013438045978546143,0.514183717290567,0.5117284673299723,-0.002455249960594652,0.485816282709433,0.4882715326700276,0.0024552499605945965,0.8806573373886446,0.8320716109902908,0.8731819441542029,0.8331564753403654,1.022779599847016,1.0114765096584162,1.0227795998448759,1.0114765096553426,0.30069175165640477,1.5538321219465143,2.1372549019607843
0.0,0.5,3,0.7,0.3,16,8000,0.85689377784729,0.8428425788879395,-0.014051198959350586,0.5329631360624747,0.5307638078789877,-0.0021993281834870038,0.46703686393752525,0.4692361921210123,0.0021993281834870593,0.9083115549137195,0.7959555762509505,0.90210938192904,0.7975343551486731,1.0224696995565625,0.9757386699426752,1.0224696995542875,0.9757386699397798,0.3003490954080528,1.525226420234528,2.1372549019607843
0.0,0.5,4,0.7,0.3,16,8000,0.8539634346961975,0.8406939506530762,-0.013269484043121338,0.5242508903602596,0.5220849651835647,-0.002165925176694894,0.4757491096397404,0.4779150348164353,0.0021659251766949494,0.8987772732973098,0.8156256773198645,0.891287162154913,0.8158816352486611,1.022224549247996,1.0036613627378226,1.0222245492458715,1.003661362734887,0.2999295611365,1.5477291966417472,2.1372549019607843
0.0,1.0,0,0.7,0.3,16,8000,0.646351158618927,0.9511001110076904,0.3047489523887634,0.5204465081163943,0.35493736608426213,-0.16550914203213213,0.4795534918836058,0.6450626339157378,0.16550914203213202,0.6770585706457496,0.6238600830237071,0.6805523147185644,1.2368347505728403,1.0246741636792256,1.0082319505926318,1.0246741636769088,1.008231950589687,0.3006815359583377,1.7816197940567984,2.1372549019607843
0.0,1.0,1,0.7,0.3,16,8000,0.6675586700439453,0.9486108422279358,0.2810521721839905,0.5699395004165505,0.3962024741223475,-0.173737026294203,0.43006049958344955,0.6037975258776525,0.1737370262942029,0.7617942454914252,0.5748287556072076,0.755036065975825,1.1506462941567104,1.0222359595607802,0.9215448572519856,1.0222359595584574,0.9215448572490494,0.29913744275123993,1.6856366797659936,2.1372549019607843
0.0,1.0,2,0.7,0.3,16,8000,0.6570448279380798,0.6368655562400818,-0.020179271697998047,0.513485482638299,0.508769893119974,-0.0047155895183249585,0.4865145173617011,0.4912301068800259,0.004715589518324792,0.672028097207658,0.6367296377817789,0.6628883002015452,0.6400352987882798,1.022779599847016,1.0114765096584162,1.0227795998448759,1.0114765096553426,0.30069175165640477,1.7832156279293212,2.1372549019607843
0.0,1.0,3,0.7,0.3,16,8000,0.6549258232116699,0.9500470757484436,0.2951212525367737,0.5319286323600927,0.36624009674373276,-0.16568853561635993,0.46807136763990737,0.6337599032562673,0.16568853561635993,0.6958496522158384,0.6123139056066672,0.6988148346543313,1.2092636113365491,1.0224696995565625,0.9757386699426752,1.0224696995542875,0.9757386699397798,0.3003490954080528,1.743009407922141,2.1372549019607843
0.0,1.0,4,0.7,0.3,16,8000,0.6502297520637512,0.950888991355896,0.3006592392921448,0.5217929267704124,0.35585369205503825,-0.1659392347153742,0.4782070732295875,0.6441463079449617,0.16593923471537425,0.6823597817992171,0.6253616279611985,0.6863865931828816,1.2424583464860917,1.022224549247996,1.0036613627378226,1.0222245492458715,1.003661362734887,0.2999295611365,1.774198692883383,2.1372549019607843
0.5,0.0,0,0.7,0.3,16,8000,0.8518660664558411,0.8364278078079224,-0.015438258647918701,0.522435408136911,0.5224631859188718,2.7777781960725e-05,0.4775645918630889,0.4775368140811282,-2.7777781960725e-05,0.887608249609669,0.8113735494514306,0.8837475646287203,0.8077545133108894,1.0246741636792256,1.0082319505926318,1.0246741636769088,1.008231950589687,0.3006815359583377,1.5536551791024051,2.1372549019607843
0.5,0.0,1,0.7,0.3,16,8000,0.8362991809844971,0.8218839168548584,-0.014415264129638672,0.567566401770154,0.568827234714717,0.0012608329445629174,0.43243359822984584,0.43117276528528303,-0.0012608329445628064,0.9547712276379268,0.7274482001860937,0.953419478237629,0.7226948497196038,1.0222359595607802,0.9215448572519856,1.0222359595584574,0.9215448572490494,0.29913744275123993,1.5012093067316192,2.1372549019607843
0.5,0.0,2,0.7,0.3,16,8000,0.8504279255867004,0.8362107872962952,-0.014217138290405273,0.5130827753525492,0.5115681343658836,-0.0015146409866656496,0.48691722464745085,0.48843186563411645,0.001514640986665594,0.874683245892326,0.830077248730231,0.8690046750629942,0.8297029196549072,1.022779599847016,1.0114765096584162,1.0227795998448759,1.0114765096553426,0.30069175165640477,1.556119030608547,2.1372549019607843
0.5,0.0,3,0.7,0.3,16,8000,0.84904545545578,0.8331555724143982,-0.015889883041381836,0.5326214139617542,0.5325513617504859,-7.005221126832328e-05,0.4673785860382457,0.46744863824951405,7.005221126832328e-05,0.8964848621437947,0.7866710130125284,0.8923195370783409,0.7832362893968821,1.0224696995565625,0.9757386699426752,1.0224696995542875,0.9757386699397798,0.3003490954080528,1.5340393243361845,2.1372549019607843
